model-1589266393,1589266444.403,0.99,0.01952,0.99,0.01952
model-1589266393,1589266445.159,0.98,0.02399,0.98,0.02399
model-1589266393,1589266445.907,0.96,0.0373,0.96,0.0373
model-1589266393,1589266446.655,0.96,0.02559,0.96,0.02559
model-1589266393,1589266447.42,0.99,0.02138,0.99,0.02138
model-1589266393,1589266447.901,0.98,0.01505,0.98,0.01505
model-1589266393,1589266448.395,0.99,0.01467,0.99,0.01467
model-1589266393,1589266448.889,0.97,0.0279,0.97,0.0279
model-1589266393,1589266449.388,0.97,0.02875,0.97,0.02875
model-1589266393,1589266450.146,0.96,0.02682,0.96,0.02682
model-1589266393,1589266450.911,0.96,0.03322,0.96,0.03322
model-1589266393,1589266451.672,0.91,0.06579,0.91,0.06579
model-1589266393,1589266452.432,0.9,0.0841,0.9,0.0841
model-1589266393,1589266453.191,0.98,0.01973,0.98,0.01973
model-1589266393,1589266453.95,0.91,0.07494,0.91,0.07494
model-1589266393,1589266454.716,0.91,0.07422,0.91,0.07422
model-1589266393,1589266454.789,1.0,4e-05,1.0,4e-05
model-1589266524,1589266525.681,0.525,0.24942,0.525,0.24942
model-1589266524,1589266527.075,0.465,0.25425,0.465,0.25425
model-1589266524,1589266528.492,0.53,0.24434,0.53,0.24434
model-1589266524,1589266529.896,0.49,0.24301,0.49,0.24301
model-1589266524,1589266531.324,0.81,0.22102,0.81,0.22102
model-1589266524,1589266532.743,0.59,0.22795,0.59,0.22795
model-1589266524,1589266534.171,0.675,0.21809,0.675,0.21809
model-1589266524,1589266535.559,0.83,0.18445,0.83,0.18445
model-1589266524,1589266536.957,0.8,0.17171,0.8,0.17171
model-1589266524,1589266538.357,0.785,0.17348,0.785,0.17348
model-1589266524,1589266539.796,0.805,0.13642,0.805,0.13642
model-1589266524,1589266541.194,0.78,0.1492,0.78,0.1492
model-1589266524,1589266542.605,0.775,0.15661,0.775,0.15661
model-1589266524,1589266544.006,0.79,0.11883,0.79,0.11883
model-1589266524,1589266545.411,0.79,0.14398,0.79,0.14398
model-1589266524,1589266546.916,0.855,0.09353,0.855,0.09353
model-1589266524,1589266548.349,0.875,0.10827,0.875,0.10827
model-1589266524,1589266549.763,0.865,0.10593,0.865,0.10593
model-1589266524,1589266551.21,0.84,0.116,0.84,0.116
model-1589266524,1589266552.696,0.845,0.11503,0.845,0.11503
model-1589266524,1589266553.475,0.89423,0.08989,0.89423,0.08989
model-1589266524,1589266554.998,0.84,0.10463,0.84,0.10463
model-1589266524,1589266556.494,0.825,0.10729,0.825,0.10729
model-1589266524,1589266557.993,0.825,0.11328,0.825,0.11328
model-1589266524,1589266559.522,0.88,0.08072,0.88,0.08072
model-1589266524,1589266561.057,0.92,0.06083,0.92,0.06083
model-1589266524,1589266562.51,0.9,0.07398,0.9,0.07398
model-1589266524,1589266563.983,0.895,0.07569,0.895,0.07569
model-1589266524,1589266565.478,0.895,0.08037,0.895,0.08037
model-1589266524,1589266566.997,0.9,0.07433,0.9,0.07433
model-1589266524,1589266568.486,0.925,0.06404,0.925,0.06404
model-1589266524,1589266569.973,0.905,0.07801,0.905,0.07801
model-1589266524,1589266571.454,0.85,0.10122,0.85,0.10122
model-1589266524,1589266572.983,0.9,0.07091,0.9,0.07091
model-1589266524,1589266574.478,0.955,0.04705,0.955,0.04705
model-1589266524,1589266575.988,0.91,0.06368,0.91,0.06368
model-1589266524,1589266577.511,0.92,0.04997,0.92,0.04997
model-1589266524,1589266579.025,0.92,0.05519,0.92,0.05519
model-1589266524,1589266580.529,0.92,0.06107,0.92,0.06107
model-1589266524,1589266581.504,0.95,0.04018,0.95,0.04018
model-1589266524,1589266582.507,0.935,0.04507,0.935,0.04507
model-1589266524,1589266583.266,0.95192,0.04869,0.95192,0.04869
model-1589266524,1589266584.816,0.9,0.06899,0.9,0.06899
model-1589266524,1589266586.342,0.92,0.06207,0.92,0.06207
model-1589266524,1589266587.851,0.925,0.0593,0.925,0.0593
model-1589266524,1589266589.344,0.95,0.04311,0.95,0.04311
model-1589266524,1589266590.831,0.955,0.03533,0.955,0.03533
model-1589266524,1589266591.8,0.93,0.05063,0.93,0.05063
model-1589266524,1589266592.775,0.92,0.06129,0.92,0.06129
model-1589266524,1589266594.07,0.92,0.05718,0.92,0.05718
model-1589266524,1589266595.028,0.925,0.06042,0.925,0.06042
model-1589266524,1589266596.003,0.895,0.06714,0.895,0.06714
model-1589266524,1589266596.926,0.94,0.04175,0.94,0.04175
model-1589266524,1589266597.856,0.92,0.05798,0.92,0.05798
model-1589266524,1589266598.784,0.91,0.07145,0.91,0.07145
model-1589266524,1589266599.729,0.925,0.05396,0.925,0.05396
model-1589266524,1589266600.698,0.93,0.05018,0.93,0.05018
model-1589266524,1589266601.774,0.97,0.02906,0.97,0.02906
model-1589266524,1589266602.808,0.95,0.04513,0.95,0.04513
model-1589266524,1589266603.848,0.92,0.05631,0.92,0.05631
model-1589266524,1589266604.915,0.93,0.05361,0.93,0.05361
model-1589266524,1589266606.046,0.94,0.04888,0.94,0.04888
model-1589266524,1589266606.599,0.94231,0.05001,0.94231,0.05001
model-1589266524,1589266607.606,0.925,0.04868,0.925,0.04868
model-1589266524,1589266608.552,0.955,0.03559,0.955,0.03559
model-1589266524,1589266609.497,0.915,0.06739,0.915,0.06739
model-1589266524,1589266610.473,0.915,0.05541,0.915,0.05541
model-1589266524,1589266611.487,0.96,0.02816,0.96,0.02816
model-1589266524,1589266612.582,0.955,0.04098,0.955,0.04098
model-1589266524,1589266613.665,0.95,0.04859,0.95,0.04859
model-1589266524,1589266614.72,0.94,0.0476,0.94,0.0476
model-1589266524,1589266615.785,0.905,0.06444,0.905,0.06444
model-1589266524,1589266616.812,0.895,0.06571,0.895,0.06571
model-1589266524,1589266617.829,0.96,0.03655,0.96,0.03655
model-1589266524,1589266618.857,0.94,0.0496,0.94,0.0496
model-1589266524,1589266619.955,0.915,0.07275,0.915,0.07275
model-1589266524,1589266620.98,0.915,0.04941,0.915,0.04941
model-1589266524,1589266621.984,0.945,0.04228,0.945,0.04228
model-1589266524,1589266623.07,0.96,0.03353,0.96,0.03353
model-1589266524,1589266624.093,0.95,0.03924,0.95,0.03924
model-1589266524,1589266625.263,0.95,0.03249,0.95,0.03249
model-1589266524,1589266626.275,0.975,0.02658,0.975,0.02658
model-1589266524,1589266627.289,0.95,0.03072,0.95,0.03072
model-1589266524,1589266627.83,0.97115,0.0361,0.97115,0.0361
model-1589266524,1589266628.842,0.94,0.04036,0.94,0.04036
model-1589266524,1589266629.896,0.97,0.0271,0.97,0.0271
model-1589266524,1589266631.059,0.955,0.04333,0.955,0.04333
model-1589266524,1589266632.035,0.95,0.03547,0.95,0.03547
model-1589266524,1589266632.996,0.99,0.01688,0.99,0.01688
model-1589266524,1589266634.057,0.95,0.03618,0.95,0.03618
model-1589266524,1589266635.129,0.955,0.03991,0.955,0.03991
model-1589266524,1589266636.207,0.94,0.04216,0.94,0.04216
model-1589266524,1589266637.221,0.95,0.03528,0.95,0.03528
model-1589266524,1589266638.256,0.97,0.03024,0.97,0.03024
model-1589266524,1589266639.287,0.97,0.02931,0.97,0.02931
model-1589266524,1589266640.348,0.955,0.04156,0.955,0.04156
model-1589266524,1589266641.342,0.95,0.03884,0.95,0.03884
model-1589266524,1589266642.34,0.97,0.02382,0.97,0.02382
model-1589266524,1589266643.364,0.97,0.02589,0.97,0.02589
model-1589266524,1589266644.363,0.985,0.01613,0.985,0.01613
model-1589266524,1589266645.352,0.975,0.0261,0.975,0.0261
model-1589266524,1589266646.345,0.96,0.02989,0.96,0.02989
model-1589266524,1589266647.338,0.98,0.02028,0.98,0.02028
model-1589266524,1589266648.386,0.99,0.01637,0.99,0.01637
model-1589266524,1589266648.921,0.96154,0.0304,0.96154,0.0304
model-1589266524,1589266649.923,0.94,0.03531,0.94,0.03531
model-1589266524,1589266650.936,0.97,0.02429,0.97,0.02429
model-1589266524,1589266651.961,0.965,0.03035,0.965,0.03035
model-1589266524,1589266653.077,0.97,0.0233,0.97,0.0233
model-1589266524,1589266654.129,0.99,0.01367,0.99,0.01367
model-1589266524,1589266655.191,0.965,0.03164,0.965,0.03164
model-1589266524,1589266656.217,0.965,0.02867,0.965,0.02867
model-1589266524,1589266657.174,0.955,0.0294,0.955,0.0294
model-1589266524,1589266658.143,0.955,0.02955,0.955,0.02955
model-1589266524,1589266659.101,0.975,0.02426,0.975,0.02426
model-1589266524,1589266660.062,0.985,0.01676,0.985,0.01676
model-1589266524,1589266661.022,0.96,0.03077,0.96,0.03077
model-1589266524,1589266661.996,0.95,0.03791,0.95,0.03791
model-1589266524,1589266662.966,0.985,0.01875,0.985,0.01875
model-1589266524,1589266663.935,0.97,0.02316,0.97,0.02316
model-1589266524,1589266664.965,0.985,0.01511,0.985,0.01511
model-1589266524,1589266666.007,0.965,0.02518,0.965,0.02518
model-1589266524,1589266667.026,0.96,0.01925,0.96,0.01925
model-1589266524,1589266668.061,0.98,0.01772,0.98,0.01772
model-1589266524,1589266669.108,0.995,0.00895,0.995,0.00895
model-1589266524,1589266669.674,0.96154,0.02609,0.96154,0.02609
model-1589266524,1589266670.691,0.965,0.02695,0.965,0.02695
model-1589266524,1589266671.732,0.98,0.01869,0.98,0.01869
model-1589266524,1589266672.76,0.97,0.02372,0.97,0.02372
model-1589266524,1589266673.779,0.985,0.01577,0.985,0.01577
model-1589266524,1589266674.8,0.99,0.0093,0.99,0.0093
model-1589266524,1589266675.806,0.97,0.02622,0.97,0.02622
model-1589266524,1589266676.798,0.98,0.01888,0.98,0.01888
model-1589266524,1589266677.799,0.98,0.02061,0.98,0.02061
model-1589266524,1589266678.781,0.97,0.02103,0.97,0.02103
model-1589266524,1589266679.803,0.985,0.01936,0.985,0.01936
model-1589266524,1589266680.849,1.0,0.01066,1.0,0.01066
model-1589266524,1589266681.838,0.97,0.02612,0.97,0.02612
model-1589266524,1589266682.824,0.955,0.03231,0.955,0.03231
model-1589266524,1589266683.827,0.98,0.01507,0.98,0.01507
model-1589266524,1589266684.814,0.97,0.02435,0.97,0.02435
model-1589266524,1589266685.816,0.985,0.01156,0.985,0.01156
model-1589266524,1589266686.82,0.975,0.01885,0.975,0.01885
model-1589266524,1589266687.809,0.97,0.02511,0.97,0.02511
model-1589266524,1589266688.804,0.985,0.01508,0.985,0.01508
model-1589266524,1589266689.78,0.995,0.00677,0.995,0.00677
model-1589266524,1589266690.301,0.97115,0.02685,0.97115,0.02685
model-1589266524,1589266691.281,0.95,0.03082,0.95,0.03082
model-1589266524,1589266692.265,0.975,0.01913,0.975,0.01913
model-1589266524,1589266693.303,0.97,0.02172,0.97,0.02172
model-1589266524,1589266694.329,0.99,0.01289,0.99,0.01289
model-1589266524,1589266695.331,0.985,0.01057,0.985,0.01057
model-1589266524,1589266696.349,0.98,0.02369,0.98,0.02369
model-1589266524,1589266697.356,0.99,0.01256,0.99,0.01256
model-1589266524,1589266698.358,0.98,0.01836,0.98,0.01836
model-1589266524,1589266699.404,0.975,0.01779,0.975,0.01779
model-1589266524,1589266700.425,0.975,0.01812,0.975,0.01812
model-1589266524,1589266701.453,1.0,0.00557,1.0,0.00557
model-1589266524,1589266702.53,0.975,0.02275,0.975,0.02275
model-1589266524,1589266703.57,0.99,0.01371,0.99,0.01371
model-1589266524,1589266704.592,0.99,0.01414,0.99,0.01414
model-1589266524,1589266705.689,0.985,0.01301,0.985,0.01301
model-1589266524,1589266706.671,0.99,0.00764,0.99,0.00764
model-1589266524,1589266707.699,0.98,0.01588,0.98,0.01588
model-1589266524,1589266708.718,0.98,0.01459,0.98,0.01459
model-1589266524,1589266709.739,0.995,0.01041,0.995,0.01041
model-1589266524,1589266710.749,0.995,0.0057,0.995,0.0057
model-1589266524,1589266711.288,0.97115,0.01701,0.97115,0.01701
model-1589266524,1589266712.308,0.97,0.01843,0.97,0.01843
model-1589266524,1589266713.334,0.985,0.01324,0.985,0.01324
model-1589266524,1589266714.294,0.985,0.01433,0.985,0.01433
model-1589266524,1589266715.316,0.99,0.00835,0.99,0.00835
model-1589266524,1589266716.348,0.995,0.0054,0.995,0.0054
model-1589266524,1589266717.373,0.98,0.01451,0.98,0.01451
model-1589266524,1589266718.361,0.995,0.00869,0.995,0.00869
model-1589266524,1589266719.324,0.98,0.01757,0.98,0.01757
model-1589266524,1589266720.308,0.98,0.01515,0.98,0.01515
model-1589266524,1589266721.294,0.985,0.01625,0.985,0.01625
model-1589266524,1589266722.266,1.0,0.00447,1.0,0.00447
model-1589266524,1589266723.238,0.985,0.01766,0.985,0.01766
model-1589266524,1589266724.241,0.97,0.01532,0.97,0.01532
model-1589266524,1589266725.231,0.975,0.01908,0.975,0.01908
model-1589266524,1589266726.263,0.99,0.01127,0.99,0.01127
model-1589266524,1589266727.281,1.0,0.00379,1.0,0.00379
model-1589266524,1589266728.315,0.98,0.01789,0.98,0.01789
model-1589266524,1589266729.368,0.985,0.01484,0.985,0.01484
model-1589266524,1589266730.374,0.99,0.01023,0.99,0.01023
model-1589266524,1589266731.342,1.0,0.0056,1.0,0.0056
model-1589266524,1589266731.851,0.96154,0.02296,0.96154,0.02296
model-1589266524,1589266732.878,0.98,0.01337,0.98,0.01337
model-1589266524,1589266733.91,0.975,0.01897,0.975,0.01897
model-1589266524,1589266734.954,0.975,0.01764,0.975,0.01764
model-1589266524,1589266736.025,0.995,0.00595,0.995,0.00595
model-1589266524,1589266737.056,0.99,0.00807,0.99,0.00807
model-1589266524,1589266738.064,0.975,0.01965,0.975,0.01965
model-1589266524,1589266739.103,0.995,0.00883,0.995,0.00883
model-1589266524,1589266740.144,0.985,0.01522,0.985,0.01522
model-1589266524,1589266741.181,0.965,0.02405,0.965,0.02405
model-1589266524,1589266742.205,0.99,0.01613,0.99,0.01613
model-1589266524,1589266743.229,0.99,0.00855,0.99,0.00855
model-1589266524,1589266744.254,0.975,0.02056,0.975,0.02056
model-1589266524,1589266745.297,0.985,0.01069,0.985,0.01069
model-1589266524,1589266746.34,0.99,0.01119,0.99,0.01119
model-1589266524,1589266747.363,0.985,0.0114,0.985,0.0114
model-1589266524,1589266748.369,0.99,0.00754,0.99,0.00754
model-1589266524,1589266749.392,0.985,0.01306,0.985,0.01306
model-1589266524,1589266750.4,0.995,0.01077,0.995,0.01077
model-1589266524,1589266751.412,0.985,0.01304,0.985,0.01304
model-1589266524,1589266752.438,0.995,0.00528,0.995,0.00528
model-1589266524,1589266752.963,0.98077,0.01651,0.98077,0.01651
model-1589266895,1589266897.268,0.445,0.25503,0.55,0.24175
model-1589266895,1589266898.655,0.46,0.25568,0.65,0.25029
model-1589266895,1589266900.12,0.645,0.24817,0.4,0.25063
model-1589266895,1589266901.933,0.465,0.249,0.5,0.24491
model-1589266895,1589266903.391,0.505,0.24726,0.65,0.24593
model-1589266895,1589266904.882,0.69,0.24246,0.45,0.24727
model-1589266895,1589266906.351,0.51,0.24219,0.5,0.23297
model-1589266895,1589266907.813,0.53,0.23303,0.8,0.20013
model-1589266895,1589266909.312,0.65,0.22477,0.85,0.20154
model-1589266895,1589266910.786,0.805,0.20353,0.7,0.21429
model-1589266895,1589266912.239,0.685,0.20949,0.65,0.20666
model-1589266895,1589266913.767,0.775,0.19304,0.9,0.13341
model-1589266895,1589266914.748,0.815,0.17219,0.95,0.10264
model-1589266895,1589266915.762,0.84,0.15397,0.95,0.07144
model-1589266895,1589266917.264,0.83,0.13716,0.75,0.15052
model-1589266895,1589266918.748,0.85,0.11791,0.95,0.09752
model-1589266895,1589266920.485,0.85,0.11652,0.95,0.08
model-1589266895,1589266922.097,0.885,0.10544,0.8,0.15723
model-1589266895,1589266923.663,0.83,0.1136,0.95,0.07899
model-1589266895,1589266925.31,0.79,0.12611,0.8,0.13485
model-1589266895,1589266926.124,0.81731,0.11583,0.9,0.07553
model-1589266895,1589266927.98,0.865,0.09794,0.95,0.02558
model-1589266895,1589266929.733,0.815,0.12469,0.95,0.04088
model-1589266895,1589266931.702,0.88,0.08833,0.8,0.17393
model-1589266895,1589266933.593,0.93,0.05493,0.85,0.13111
